incident_id,title,description,resolution,severity
INC0056,Database replication lag,Database replication lag increased significantly,Restart replication service and validate sync,P2
INC0057,LDAP connectivity issue,Application unable to connect to LDAP server,Restart LDAP services and validate connectivity,P1
INC0058,High memory usage,Application memory usage exceeded threshold,Restart application and analyze heap usage,P2
INC0059,File transfer failure,SFTP file transfers failing intermittently,Restart SFTP services and validate credentials,P2
INC0060,Citrix session disconnect,Users disconnected from Citrix sessions,Restart Citrix services and validate brokers,P2
INC0061,Service startup failure,Application services failed to start after reboot,Restart services manually and validate logs,P1
INC0062,API timeout,API requests timing out during peak load,Scale API services and restart gateway,P2
INC0063,Firewall port blocked,Application unable to connect over required port,Open firewall port and validate connectivity,P2
INC0064,Database listener stopped,Database listener service stopped unexpectedly,Restart listener and validate connections,P1
INC0065,Pod restart loop,Kubernetes pods restarting continuously,Check pod logs and increase memory limits,P1
INC0066,Application thread deadlock,Application threads stuck in deadlock state,Restart application services and validate logs,P1
INC0067,Storage mount issue,Application unable to access mounted storage,Remount storage and validate permissions,P2
INC0068,Monitoring agent failure,Server monitoring agents stopped reporting,Restart monitoring agents and validate metrics,P3
INC0069,CI/CD issue,CI/CD deployment pipeline failed unexpectedly,Validate Jenkins jobs and rerun pipeline,P2
INC0070,Service degradation,Application performance degraded for multiple users,Restart impacted services and validate CPU usage,P2
INC0071,Proxy timeout,Reverse proxy timing out for API requests,Increase timeout settings and restart proxy,P2
INC0072,Token validation issue,Application unable to validate user tokens,Restart token validation services,P1
INC0073,Server storage full,Server storage utilization reached 100 percent,Clean unused files and extend storage,P1
INC0074,Email delivery issue,Business emails not delivered to users,Restart mail services and validate SMTP queue,P2
INC0075,Application inaccessible,Application unavailable after patch update,Restart services and validate deployment health,P1
INC0076,Kubernetes ingress failure,Ingress controller not routing requests,Restart ingress controller and validate configs,P2
INC0077,Service health critical,Critical health alerts generated for services,Restart impacted services and validate health,P1
INC0078,Application restart required,Application became unstable after configuration change,Restart application and verify logs,P2
INC0079,Database failover issue,Database failover did not trigger correctly,Manually failover and validate DB cluster,P1
INC0080,Cloud connectivity issue,Application unable to connect to cloud APIs,Restart connectivity services and validate routing,P2
INC0081,Service dependency timeout,Dependent APIs timing out intermittently,Restart dependent services and validate APIs,P2
INC0082,Authentication cache corruption,Authentication cache corrupted after restart,Clear cache and restart authentication services,P1
INC0083,Websocket failure,Realtime websocket connections failing,Restart websocket services and validate endpoints,P2
INC0084,Batch job failure,Nightly batch processing job failed,Rerun batch job and validate logs,P3
INC0085,Production login failure,Business users unable to login to production app,Restart authentication services and validate AD,P1
INC0086,Application deployment stuck,Deployment pipeline stuck during rollout,Abort deployment and rerun release,P2
INC0087,DNS cache issue,Application resolving outdated DNS records,Flush DNS cache and restart DNS services,P2
INC0088,Database connection saturation,Database connections exceeded configured limit,Restart DB pool and increase connection limit,P1
INC0089,Service crash loop,Application services crashing repeatedly,Analyze logs and restart impacted services,P1
INC0090,Network packet loss,High packet loss observed between servers,Restart network adapters and validate routing,P2
INC0091,Load balancer disconnect,Load balancer dropping active connections,Restart load balancer and validate sessions,P2
INC0092,OCI storage unavailable,Application unable to access OCI storage,Validate storage mount and restart services,P2
INC0093,Authentication API down,Authentication APIs returning 500 errors,Restart auth APIs and validate tokens,P1
INC0094,Database service unavailable,Primary database service unavailable,Restart DB services and validate failover,P1
INC0095,Kubernetes service unavailable,Kubernetes services not reachable internally,Restart kube services and validate networking,P1
INC0096,CPU spike,Application CPU usage spiked unexpectedly,Kill high CPU process and restart application,P2
INC0097,Service port issue,Application service port not responding,Restart services and validate port bindings,P2
INC0098,Backup storage issue,Backup storage inaccessible during backup job,Validate storage permissions and rerun backup,P3
INC0099,Application session issue,Users getting logged out automatically,Update session configs and restart services,P3
INC0100,Reverse proxy unavailable,Nginx reverse proxy unavailable after restart,Restart Nginx and validate upstream services,P1
